start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
4.88005,0.28159,1.0,-32.71,0.01899,-2.861,0.0,"[0.834, 0.238, 0.129, 0.12, 0.529, 1.0, 0.091, 0.125, 0.348, 0.149, 0.062, 0.648]","[43.909, -4.879, -163.174, 156.865, -14.575, -43.242, -39.113, -30.711, 20.306, 13.145, -42.388, 27.436]"
5.16163,0.2254,0.604,-38.523,0.01189,-28.128,0.0,"[0.765, 1.0, 0.412, 0.381, 0.198, 0.747, 0.524, 0.125, 0.08, 0.255, 0.262, 0.466]","[22.934, 157.974, -107.015, 123.932, -11.218, -57.749, -56.402, -25.127, -9.007, -12.026, -46.89, 9.641]"
5.38703,0.31011,1.0,-50.538,0.05743,-2.757,0.0,"[0.905, 0.398, 0.434, 0.574, 0.36, 0.648, 0.165, 0.195, 0.239, 0.155, 0.162, 1.0]","[39.273, -52.172, -115.252, -44.745, 19.481, 198.366, -4.157, 111.67, 38.004, -59.718, -46.711, 7.69]"
5.69714,0.20594,0.868,-41.776,0.02668,-25.059,0.0,"[0.946, 1.0, 0.12, 0.136, 0.406, 0.372, 0.128, 0.063, 0.068, 0.103, 0.088, 0.246]","[26.462, 138.606, -95.058, 109.959, 31.192, -31.271, -61.784, -58.167, -6.445, -13.354, -35.534, 15.443]"
5.90308,0.34395,1.0,-46.087,0.07101,-3.237,0.0,"[0.746, 0.253, 0.236, 0.226, 0.249, 0.518, 0.112, 0.213, 0.301, 0.107, 0.132, 1.0]","[29.3, -63.135, -46.996, -181.538, 35.165, 130.382, -9.16, 45.483, 5.116, 47.115, -107.144, 29.866]"
6.24703,0.2498,0.577,-41.393,0.01525,-30.543,0.0,"[0.726, 1.0, 0.352, 0.252, 0.22, 0.698, 0.413, 0.186, 0.171, 0.592, 0.753, 0.453]","[19.985, 155.775, -88.151, 125.454, -5.339, -64.557, -33.029, -13.18, 3.31, -0.904, -32.361, 21.353]"
6.49683,0.30005,1.0,-52.399,0.03724,-1.418,0.0,"[0.895, 0.576, 0.196, 0.487, 0.512, 0.425, 0.416, 0.544, 0.236, 0.11, 0.251, 1.0]","[40.831, 89.447, -139.425, 156.094, 5.663, 199.797, -2.928, 81.26, 7.353, 34.98, 72.177, 6.796]"
6.79687,0.11964,1.0,-45.866,0.02124,-25.034,0.0,"[1.0, 0.534, 0.424, 0.477, 0.553, 0.606, 0.52, 0.47, 0.351, 0.376, 0.54, 0.251]","[28.439, 168.897, -36.779, 67.94, 27.066, -55.023, -47.86, -39.402, -1.792, 27.367, -24.557, 7.158]"
6.91651,0.13723,0.742,-39.149,0.00479,-25.314,0.0,"[1.0, 0.664, 0.498, 0.508, 0.525, 0.829, 0.228, 0.146, 0.433, 0.488, 0.283, 0.41]","[28.742, -228.677, -156.908, -23.761, 16.847, -95.436, -28.193, 26.255, 16.11, 21.031, -9.932, 15.056]"
7.05374,0.26884,1.0,-37.524,0.01203,-4.106,0.0,"[1.0, 0.343, 0.129, 0.296, 0.706, 0.728, 0.255, 0.223, 0.304, 0.223, 0.084, 0.99]","[43.237, 18.713, -167.296, 162.757, -13.097, -52.301, -40.744, -22.019, 18.033, -9.341, -78.043, 26.41]"
