,artist_id,artist,song_title,genres,primary_genre,genre_sorted,decade,loud_start_diff,loud_max_diff,pitch_eucl_dist,timbre_eucl_dist,tempo_diff,loud_diff,energy_diff,dance_diff,valence_diff
0,1dfeR4HaWDbWqFHLkxsg1d,Queen,Another One Bites The Dust,"['glam rock', 'rock']",glam rock,Rock/Hard Rock,1980,7.022844444444442,7.960177777777778,0.5144517368965182,72.49027626095425,0.09099999999999397,6.687,0.16200000000000003,0.007000000000000006,0.028000000000000136
1,3DvdryKH4O95ZnsUZJKXpt,"Maze, Frankie Beverly",Before I Let Go,"['funk', 'motown', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",funk,R&B/Soul,1980,5.272641025641026,5.132,1.2283048553647866,144.45576443994986,0.021000000000000796,6.4110000000000005,0.19999999999999996,0.020999999999999908,0.0
2,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,Big Poppa,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",east coast hip hop,Hip Hop,1990,0.39127380952381,0.7322916666666668,1.2016976551190532,134.06049165375083,0.17499999999998295,1.1159999999999997,0.04200000000000004,0.030000000000000027,0.007999999999999896
3,03r4iKL2g2442PT9n2UKsx,Beastie Boys,Ch-Check It Out,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap']",east coast hip hop,Hip Hop,2000,0.21826548672566404,1.2485132743362837,1.2183163358446718,128.9364212504071,0.006999999999990791,0.6669999999999998,0.013000000000000012,0.0,0.028999999999999915
4,25TKXk9zo9yk0HMJQ3TuE9,Kurtis Blow,Christmas Rappin',"['east coast hip hop', 'electro', 'harlem hip hop', 'hip hop', 'hip house', 'old school hip hop', 'rap']",east coast hip hop,Hip Hop,1970,1.532085858585859,2.938469696969699,1.131355707014295,123.18860006153402,0.6670000000000016,2.2379999999999995,0.09100000000000008,0.006000000000000116,0.0010000000000000009
5,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,Come Fly With Me,"['adult standards', 'easy listening', 'lounge']",adult standards,R&B/Soul,1950,4.903986486486489,4.370554054054054,0.6391751906893992,63.49444137847862,67.11200000000001,4.273999999999999,0.14499999999999996,0.11999999999999994,0.004000000000000115
6,2JIf5JxI3ypOSfrfNIIMQE,YELLOW MAGIC ORCHESTRA,Firecracker,"['classic j-rock', 'electro', 'japanese city pop', 'proto-techno', 'shibuya-kei', 'techno kayo', 'zolo']",electro,Electronic/EDM,1970,0.32143834080717504,1.4718733183856498,0.2000348423674874,25.11816166879044,0.03100000000000591,2.4490000000000016,0.009000000000000008,0.08000000000000007,0.0050000000000000044
7,0X380XXQSNBYuleKzav5UO,Nine Inch Nails,Head Like A Hole,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",electronic rock,Electronic/EDM,1980,8.113251121076232,7.935739910313906,0.9777387759732573,92.3313300472958,0.02200000000000557,7.243000000000001,0.12,0.013999999999999901,0.04099999999999998
8,3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,It Was A Good Day,"['conscious hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",conscious hip hop,Hip Hop,1990,2.4355909090909096,2.2561818181818176,1.3416252191827895,142.21086100831005,0.05700000000004479,2.1000000000000014,0.09600000000000009,0.01100000000000012,0.039000000000000035
9,3RGLhK1IP9jnYFH4BRFJBS,The Clash,London Calling,"['classic rock', 'dance rock', 'permanent wave', 'punk', 'rock']",punk,Alt. Rock/Punk,1970,0.031173333333333143,0.3161133333333333,1.2441022741052008,88.15279965155695,0.03200000000001069,0.41999999999999993,0.0019999999999998908,0.0030000000000001137,0.020999999999999908
10,08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish,Only Wanna Be With You,"['mellow gold', 'neo mellow', 'pop rock', 'post-grunge']",mellow gold,Rock/Hard Rock,1990,0.0213253012048194,0.009554216867469866,0.9924393205710106,65.97527739911627,0.1530000000000058,0.3769999999999989,0.018000000000000016,0.002000000000000113,0.08099999999999996
11,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,P.Y.T. (Pretty Young Thing),"['pop', 'r&b', 'soul']",r&b,R&B/Soul,1980,3.659477477477475,2.896130630630627,0.9272924080396003,101.69342960483462,0.12399999999999523,3.8760000000000003,0.1259999999999999,0.009000000000000008,0.0
12,3WaJSfKnzc65VDgmj2zU8B,Interpol,PDA,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'new rave', 'rock']",alternative rock,Alt. Rock/Punk,2000,0.12178260869565218,0.10351449275362314,0.07303367117150522,7.033959763730261,0.23199999999999932,0.1369999999999969,0.009000000000000008,0.0010000000000000009,0.026999999999999996
13,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,Psycho Killer,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",art punk,Alt. Rock/Punk,1970,3.932635897435899,3.9844410256410216,0.4007881433382724,42.802202149907394,0.26600000000000534,4.016,0.12,0.0,0.0020000000000000018
14,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,Respect,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",adult standards,R&B/Soul,1960,2.5900888888888898,0.26802222222222255,1.2925069826583242,116.00396567238457,0.04099999999999682,1.1600000000000001,0.05400000000000005,0.06099999999999994,0.0040000000000000036
