,song_title,loud_start_diff,loud_max_diff,pitch_eucl_dist,timbre_eucl_dist
0,Another One Bites The Dust,7.022844444444442,7.960177777777778,0.5144517368965182,72.49027626095425
1,Before I Let Go,-5.272641025641026,-5.132,1.2283048553647866,144.45576443994986
2,Big Poppa,-0.39127380952381,-0.7322916666666668,1.2016976551190532,134.06049165375083
3,Ch-Check It Out,-0.21826548672566404,1.2485132743362837,1.2183163358446718,128.9364212504071
4,Christmas Rappin',-1.532085858585859,-2.938469696969699,1.131355707014295,123.18860006153402
5,Come Fly With Me,4.903986486486489,4.370554054054054,0.6391751906893992,63.49444137847862
6,Firecracker,0.32143834080717504,1.4718733183856498,0.2000348423674874,25.11816166879044
7,Head Like A Hole,8.113251121076232,7.935739910313906,0.9777387759732573,92.3313300472958
8,It Was A Good Day,2.4355909090909096,2.2561818181818176,1.3416252191827895,142.21086100831005
9,London Calling,-0.031173333333333143,-0.3161133333333333,1.2441022741052008,88.15279965155695
10,Only Wanna Be With You,-0.0213253012048194,0.009554216867469866,0.9924393205710106,65.97527739911627
11,P.Y.T. (Pretty Young Thing),3.659477477477475,2.896130630630627,0.9272924080396003,101.69342960483462
12,PDA,0.12178260869565218,0.10351449275362314,0.07303367117150522,7.033959763730261
13,Psycho Killer,3.932635897435899,3.9844410256410216,0.4007881433382724,42.802202149907394
14,Respect,2.5900888888888898,0.26802222222222255,1.2925069826583242,116.00396567238457
15,Such Great Heights,0.7826259615384612,0.7588019230769226,0.21232955580099994,25.821862903434408
16,Sweet Dreams (Are Made of This),-6.3660634920634935,-5.688825396825398,1.0871960646811385,103.11412565583949
17,Unwell,-0.1638142857142859,-0.08261428571428575,1.0366447157551535,93.79667884203634
18,Wild Horses,3.12710824742268,2.8966391752577314,0.22860376460311607,33.76437689567138
19,Wonderwall,-0.1245283018867924,-0.32293396226415094,1.3273324540335179,86.29263072796505
