,spotify_id,artist_id,artist,song_title,remaster,tempo,time_signature,key,mode,loudness,energy,danceability,acousticness,instrumentalness,liveness,speechiness,valence,genres
18,6Bm6qUCSatPAqkQllFL7oA,3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,Unwell,N,80.718,4,F♯/G♭,0,-5.263,0.7879999999999999,0.256,0.0298,0.0,0.7070000000000001,0.0403,0.429,"['neo mellow', 'pop rock', 'post-grunge']"
19,0PXWpNBYg52gABrn1qL1bD,3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,Unwell - 2007 Remaster,Y,80.985,4,A,1,-5.152,0.7929999999999999,0.442,0.0456,0.0,0.32799999999999996,0.0347,0.43700000000000006,"['neo mellow', 'pop rock', 'post-grunge']"
20,78lgmZwycJ3nzsdgmPPGNx,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Immigrant Song - 2012 Remaster,Y,112.93700000000001,4,B,1,-10.068,0.932,0.564,0.013000000000000001,0.16899999999999998,0.349,0.0554,0.619,"['album rock', 'classic rock', 'hard rock', 'rock']"
21,2G7woUgHMt6QBU7esQ5rsL,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Immigrant Song - Remaster,N,112.93700000000001,4,B,1,-10.068,0.932,0.564,0.013000000000000001,0.16899999999999998,0.349,0.0554,0.619,"['album rock', 'classic rock', 'hard rock', 'rock']"
22,5wj4E6IsrVtn8IBJQOd0Cl,2DaxqgrOhkeH0fpeiQq2f4,Oasis,Wonderwall - Remastered,Y,174.53,4,D,1,-4.918,0.865,0.37200000000000005,0.000453,0.0,0.23399999999999999,0.0381,0.478,"['beatlesque', 'britpop', 'madchester', 'modern rock', 'permanent wave', 'rock']"
23,4w7RuuQAVP0JXlAom3z1aC,2DaxqgrOhkeH0fpeiQq2f4,Oasis,Wonderwall,N,174.648,4,F♯/G♭,0,-4.3469999999999995,0.893,0.41,0.000714,0.0,0.20199999999999999,0.0342,0.688,"['beatlesque', 'britpop', 'madchester', 'modern rock', 'permanent wave', 'rock']"
24,08j9HtxtL9iJtAU9Wgs7WO,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,P.Y.T. (Pretty Young Thing),Y,127.33200000000001,4,B,0,-5.53,0.7959999999999999,0.885,0.22,0.00041600000000000003,0.105,0.0423,0.961,"['pop', 'r&b', 'soul']"
25,1CgmY8fVN7kstVDZmsdM5k,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,P.Y.T. (Pretty Young Thing),N,127.208,4,B,0,-9.406,0.67,0.894,0.172,0.000362,0.0691,0.0474,0.961,"['pop', 'r&b', 'soul']"
26,1i6N76fftMZhijOzFQ5ZtL,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,Psycho Killer - 2005 Remaster,Y,123.118,4,D,1,-8.123,0.521,0.721,0.0707,0.005520000000000001,0.127,0.0612,0.9420000000000001,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
27,7dSCxR4LqkmxoBrq9MzVSD,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,Psycho Killer,N,123.384,4,D,1,-12.139000000000001,0.401,0.721,0.0586,0.00259,0.122,0.0661,0.9440000000000001,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
