start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
4.80073,0.12231,0.437,-43.035,0.01996,-35.623,0.0,"[0.331, 0.192, 0.513, 0.755, 0.463, 0.405, 0.634, 0.936, 1.0, 0.537, 0.218, 0.236]","[23.029, -228.121, -139.999, -87.162, 40.793, -66.5, -0.429, 24.91, -0.106, -8.929, 5.519, -0.213]"
4.92304,0.28449,1.0,-38.324,0.02208,-9.683,0.0,"[0.764, 0.21, 0.128, 0.145, 0.517, 1.0, 0.081, 0.116, 0.341, 0.142, 0.067, 0.621]","[36.681, -4.418, -175.324, 156.563, -2.558, 17.673, -27.071, -22.386, 22.789, 5.74, -4.159, 16.714]"
5.20753,0.22458,0.688,-45.711,0.01528,-34.243,0.0,"[0.766, 1.0, 0.464, 0.414, 0.205, 0.815, 0.573, 0.123, 0.08, 0.285, 0.228, 0.551]","[17.042, 162.255, -110.893, 114.513, 4.253, -56.626, -49.466, -15.338, -18.399, -13.901, -47.953, 5.375]"
5.43211,0.31206,1.0,-56.104,0.05534,-9.011,0.0,"[0.896, 0.415, 0.489, 0.643, 0.382, 0.672, 0.175, 0.207, 0.255, 0.168, 0.188, 1.0]","[33.197, -36.535, -129.75, -25.242, 29.464, 192.279, -4.325, 93.509, 33.344, -56.171, -48.591, 6.926]"
5.74417,0.20712,0.82,-46.419,0.0253,-32.078,0.0,"[0.884, 1.0, 0.141, 0.175, 0.547, 0.474, 0.167, 0.073, 0.082, 0.145, 0.113, 0.313]","[19.727, 151.64, -97.216, 99.755, 39.528, -53.096, -64.252, -58.765, -15.567, -9.381, -40.694, 14.506]"
5.95129,0.34082,1.0,-52.134,0.0663,-10.292,0.0,"[0.737, 0.281, 0.267, 0.252, 0.269, 0.536, 0.118, 0.216, 0.309, 0.107, 0.141, 1.0]","[23.046, -46.09, -62.649, -180.693, 49.191, 128.651, -3.178, 35.141, -5.104, 47.905, -104.159, 24.427]"
6.29211,0.2693,0.584,-46.315,0.0174,-36.631,0.0,"[0.741, 0.862, 0.518, 0.381, 0.266, 0.921, 0.566, 0.277, 0.236, 0.816, 1.0, 0.63]","[14.386, 153.432, -93.332, 119.192, 12.65, -64.66, -27.065, 0.519, -2.515, -4.413, -34.354, 15.127]"
6.56141,0.28354,1.0,-57.385,0.01744,-8.097,0.0,"[0.92, 0.676, 0.15, 0.496, 0.581, 0.51, 0.441, 0.579, 0.288, 0.109, 0.267, 1.0]","[38.823, 92.368, -141.539, 197.348, -30.606, -54.725, -52.196, 61.143, 10.097, -40.51, -76.406, 32.861]"
6.84494,0.1161,1.0,-50.891,0.02072,-32.71,0.0,"[1.0, 0.601, 0.425, 0.495, 0.603, 0.684, 0.596, 0.545, 0.437, 0.456, 0.658, 0.384]","[21.775, 180.494, -31.938, 53.374, 34.752, -46.524, -43.527, -46.184, -9.065, 23.356, -22.503, 6.558]"
6.96104,0.13723,0.751,-44.343,0.00692,-32.179,0.0,"[1.0, 0.659, 0.477, 0.476, 0.495, 0.771, 0.166, 0.104, 0.409, 0.468, 0.291, 0.421]","[22.516, -195.032, -165.666, -25.377, 31.491, -86.598, -24.09, 36.988, 2.983, 9.463, -14.15, 11.028]"
7.09828,0.28095,1.0,-44.316,0.01494,-10.972,0.0,"[0.989, 0.338, 0.133, 0.364, 0.826, 0.811, 0.29, 0.218, 0.328, 0.236, 0.096, 1.0]","[36.487, 27.131, -174.393, 168.442, -5.655, -47.891, -43.871, -12.438, 15.255, -9.244, -76.81, 24.118]"
7.37923,0.26231,1.0,-46.334,0.01717,-26.351,0.0,"[0.83, 0.089, 0.197, 0.135, 0.93, 1.0, 0.095, 0.054, 0.385, 0.18, 0.052, 0.859]","[27.179, -128.45, -184.432, 23.558, 40.569, -55.02, -24.208, -53.759, 11.062, -0.58, -18.7, 9.9]"
7.64154,0.26272,1.0,-43.736,0.02046,-8.73,0.0,"[0.532, 0.278, 0.363, 0.82, 0.327, 0.202, 0.216, 0.761, 1.0, 0.113, 0.307, 0.677]","[39.758, 20.04, -153.476, 117.606, -7.637, 33.398, -29.387, 4.752, 9.066, -31.017, 10.801, 12.258]"
7.90426,0.29401,1.0,-40.545,0.03541,-23.812,0.0,"[0.294, 0.412, 0.357, 0.156, 0.683, 0.603, 0.283, 0.203, 0.393, 1.0, 0.662, 0.308]","[28.283, -85.93, -194.189, 5.07, 37.516, 21.204, -11.219, -67.335, 40.237, -46.271, 8.057, -1.212]"
8.19828,0.26014,1.0,-39.076,0.01495,-11.166,0.0,"[0.644, 0.465, 0.127, 0.334, 0.439, 0.409, 0.191, 0.264, 0.153, 0.268, 0.521, 1.0]","[35.182, 82.039, -161.636, 197.245, -27.427, -56.062, -52.97, 30.944, 17.537, -9.539, -76.225, 17.908]"
